No.,Date,ID,Name,Switch,Brightness(%),Power Rate(%),Power Sum(W),Power AC(W),Power DC(W),Power Limit Hard(W),Power Limit Soft(W),Current Sum(A),Current Limit(A),DR(%),Led Count,Energy (kWh)
13989,12/28/21 12:16:54 AM,1_11,充电桩上电,1,25,100,18,18,0,0,0,0,0,0,4,84.003
1544,12/28/21 12:16:54 AM,1_72,B相充电桩电,1,25,100,18,18,0,8800,0,0,0,0,4,84.136
10551,12/28/21 12:16:55 AM,1_51,配电箱总功�,1,50,100,359,359,0,30000,8800,2,0,0,7,110.025
4508,12/28/21 12:17:27 AM,1_65,四个充电桩�,1,25,100,18,18,0,10000,0,0,35,0,4,84.222
6000,12/28/21 12:17:55 AM,1_63,C相电流上限,1,100,100,171,171,0,10000,0,1,0,0,1,12.19
7526,12/28/21 12:17:55 AM,1_62,B相电流上限,1,50,100,77,77,0,10000,0,0,0,0,5,90.27
9031,12/28/21 12:17:55 AM,1_61,A相电流上限,1,100,100,98,98,0,10000,0,0,0,0,1,7.554
21,12/28/21 12:17:55 AM,1_73,C相充电桩电,1,40,100,171,171,0,0,0,1,0,0,1,12.183
2992,12/28/21 12:17:55 AM,1_71,A相充电桩电,1,40,100,98,98,0,8800,0,0,0,0,1,7.559
1545,12/28/21 12:17:55 AM,1_72,B相充电桩电,1,25,100,18,18,0,8800,0,0,0,0,4,84.137
13990,12/28/21 12:17:55 AM,1_11,充电桩上电,1,25,100,18,18,0,0,0,0,0,0,4,84.003
10552,12/28/21 12:17:55 AM,1_51,配电箱总功�,1,50,100,346,346,0,30000,8800,2,0,0,7,110.031
4509,12/28/21 12:18:27 AM,1_65,四个充电桩�,1,25,100,18,18,0,10000,0,0,35,0,4,84.222
10553,12/28/21 12:18:31 AM,1_51,配电箱总功�,1,50,100,334,334,0,30000,8800,2,0,0,7,110.034
6001,12/28/21 12:18:54 AM,1_63,C相电流上限,1,100,100,160,160,0,10000,0,1,0,0,1,12.192
9032,12/28/21 12:18:54 AM,1_61,A相电流上限,1,100,100,97,97,0,10000,0,0,0,0,1,7.556
22,12/28/21 12:18:54 AM,1_73,C相充电桩电,1,40,100,160,160,0,0,0,1,0,0,1,12.186
7527,12/28/21 12:18:54 AM,1_62,B相电流上限,1,50,100,77,77,0,10000,0,0,0,0,5,90.271
2993,12/28/21 12:18:54 AM,1_71,A相充电桩电,1,40,100,97,97,0,8800,0,0,0,0,1,7.561
13991,12/28/21 12:18:54 AM,1_11,充电桩上电,1,25,100,18,18,0,0,0,0,0,0,4,84.003
10554,12/28/21 12:18:55 AM,1_51,配电箱总功�,1,50,100,334,334,0,30000,8800,2,0,0,7,110.036
9033,12/28/21 12:19:54 AM,1_61,A相电流上限,1,100,100,98,98,0,10000,0,0,0,0,1,7.558
7528,12/28/21 12:19:54 AM,1_62,B相电流上限,1,50,100,77,77,0,10000,0,0,0,0,5,90.272
23,12/28/21 12:19:54 AM,1_73,C相充电桩电,1,40,100,184,184,0,0,0,1,0,0,1,12.189
6002,12/28/21 12:19:54 AM,1_63,C相电流上限,1,100,100,184,184,0,10000,0,1,0,0,1,12.196
2994,12/28/21 12:19:54 AM,1_71,A相充电桩电,1,40,100,98,98,0,8800,0,0,0,0,1,7.562
10555,12/28/21 12:19:55 AM,1_51,配电箱总功�,1,50,100,359,359,0,30000,8800,2,0,0,7,110.042
4510,12/28/21 12:20:27 AM,1_65,四个充电桩�,1,25,100,18,18,0,10000,0,0,35,0,4,84.222
6003,12/28/21 12:20:54 AM,1_63,C相电流上限,1,100,100,160,160,0,10000,0,1,0,0,1,12.198
9034,12/28/21 12:20:54 AM,1_61,A相电流上限,1,100,100,98,98,0,10000,0,0,0,0,1,7.559
7529,12/28/21 12:20:54 AM,1_62,B相电流上限,1,50,100,76,76,0,10000,0,0,0,0,5,90.274
24,12/28/21 12:20:54 AM,1_73,C相充电桩电,1,40,100,160,160,0,0,0,1,0,0,1,12.191
2995,12/28/21 12:20:54 AM,1_71,A相充电桩电,1,40,100,98,98,0,8800,0,0,0,0,1,7.564
13992,12/28/21 12:20:54 AM,1_11,充电桩上电,1,25,100,18,18,0,0,0,0,0,0,4,84.004
1546,12/28/21 12:20:54 AM,1_72,B相充电桩电,1,25,100,18,18,0,8800,0,0,0,0,4,84.138
10556,12/28/21 12:20:55 AM,1_51,配电箱总功�,1,50,100,334,334,0,30000,8800,2,0,0,7,110.048
4511,12/28/21 12:21:27 AM,1_65,四个充电桩�,1,25,100,18,18,0,10000,0,0,35,0,4,84.223
9035,12/28/21 12:21:54 AM,1_61,A相电流上限,1,100,100,98,98,0,10000,0,0,0,0,1,7.561
6004,12/28/21 12:21:54 AM,1_63,C相电流上限,1,100,100,159,159,0,10000,0,1,0,0,1,12.201
7530,12/28/21 12:21:54 AM,1_62,B相电流上限,1,50,100,77,77,0,10000,0,0,0,0,5,90.275
25,12/28/21 12:21:54 AM,1_73,C相充电桩电,1,40,100,159,159,0,0,0,1,0,0,1,12.194
2996,12/28/21 12:21:54 AM,1_71,A相充电桩电,1,40,100,98,98,0,8800,0,0,0,0,1,7.566
13993,12/28/21 12:21:54 AM,1_11,充电桩上电,1,25,100,18,18,0,0,0,0,0,0,4,84.004
1547,12/28/21 12:21:54 AM,1_72,B相充电桩电,1,25,100,18,18,0,8800,0,0,0,0,4,84.138
10557,12/28/21 12:21:56 AM,1_51,配电箱总功�,1,50,100,346,346,0,30000,8800,2,0,0,7,110.053
4512,12/28/21 12:22:27 AM,1_65,四个充电桩�,1,25,100,18,18,0,10000,0,0,35,0,4,84.223
2997,12/28/21 12:22:51 AM,1_71,A相充电桩电,1,40,100,98,98,0,8800,0,0,0,0,1,7.567
9036,12/28/21 12:22:55 AM,1_61,A相电流上限,1,100,100,98,98,0,10000,0,0,0,0,1,7.563
6005,12/28/21 12:22:55 AM,1_63,C相电流上限,1,100,100,159,159,0,10000,0,1,0,0,1,12.204
7531,12/28/21 12:22:55 AM,1_62,B相电流上限,1,50,100,77,77,0,10000,0,0,0,0,5,90.276
26,12/28/21 12:22:55 AM,1_73,C相充电桩电,1,40,100,159,159,0,0,0,1,0,0,1,12.197
2998,12/28/21 12:22:55 AM,1_71,A相充电桩电,1,40,100,98,98,0,8800,0,0,0,0,1,7.567
13994,12/28/21 12:22:55 AM,1_11,充电桩上电,1,25,100,18,18,0,0,0,0,0,0,4,84.005
1548,12/28/21 12:22:55 AM,1_72,B相充电桩电,1,25,100,18,18,0,8800,0,0,0,0,4,84.138
10558,12/28/21 12:22:55 AM,1_51,配电箱总功�,1,50,100,334,334,0,30000,8800,2,0,0,7,110.059
4513,12/28/21 12:23:27 AM,1_65,四个充电桩�,1,25,100,17,17,0,10000,0,0,35,0,4,84.223
9037,12/28/21 12:23:54 AM,1_61,A相电流上限,1,100,100,98,98,0,10000,0,0,0,0,1,7.564
6006,12/28/21 12:23:54 AM,1_63,C相电流上限,1,100,100,160,160,0,10000,0,1,0,0,1,12.206
7532,12/28/21 12:23:54 AM,1_62,B相电流上限,1,50,100,77,77,0,10000,0,0,0,0,5,90.277
27,12/28/21 12:23:54 AM,1_73,C相充电桩电,1,40,100,160,160,0,0,0,1,0,0,1,12.199
2999,12/28/21 12:23:54 AM,1_71,A相充电桩电,1,40,100,98,98,0,8800,0,0,0,0,1,7.569
13995,12/28/21 12:23:54 AM,1_11,充电桩上电,1,25,100,17,17,0,0,0,0,0,0,4,84.005
1549,12/28/21 12:23:54 AM,1_72,B相充电桩电,1,25,100,17,17,0,8800,0,0,0,0,4,84.138
10559,12/28/21 12:23:55 AM,1_51,配电箱总功�,1,50,100,335,335,0,30000,8800,2,0,0,7,110.064
4514,12/28/21 12:24:27 AM,1_65,四个充电桩�,1,25,100,18,18,0,10000,0,0,35,0,4,84.224
9038,12/28/21 12:24:54 AM,1_61,A相电流上限,1,100,100,98,98,0,10000,0,0,0,0,1,7.566
6007,12/28/21 12:24:54 AM,1_63,C相电流上限,1,100,100,160,160,0,10000,0,1,0,0,1,12.209
7533,12/28/21 12:24:54 AM,1_62,B相电流上限,1,50,100,77,77,0,10000,0,0,0,0,5,90.279
28,12/28/21 12:24:54 AM,1_73,C相充电桩电,1,40,100,160,160,0,0,0,1,0,0,1,12.202
3000,12/28/21 12:24:54 AM,1_71,A相充电桩电,1,40,100,98,98,0,8800,0,0,0,0,1,7.57
13996,12/28/21 12:24:54 AM,1_11,充电桩上电,1,25,100,17,17,0,0,0,0,0,0,4,84.005
1550,12/28/21 12:24:54 AM,1_72,B相充电桩电,1,25,100,17,17,0,8800,0,0,0,0,4,84.139
